name,handedness,height,weight,avg,HR,bmi 
Pat Corrales,R,72,180,0.216,4,2.5
Mike Tyson,R,69,170,0.241,27,2.46
Duane Josephson,R,72,190,0.258,23,2.64
Glenn Hubbard,R,69,150,0.244,70,2.17
Roger Freed,R,72,190,0.245,22,2.64
George Hendrick,R,75,195,0.278,267,2.6
Bob Davis,R,72,180,0.197,6,2.5
Toby Harrah,R,72,175,0.264,195,2.43
Gary Matthews,R,74,185,0.281,234,2.5
Terry Taylor,R,73,180,0,0,2.47
Mario Mendoza,R,71,170,0.215,4,2.39
Larry Hisle,R,74,193,0.273,166,2.61
Randy Nosek,R,76,215,0,0,2.83
Dave Engle,R,75,210,0.262,31,2.8
Mark Smith,R,74,215,0,0,2.91
Paul Mitchell,R,73,195,0,0,2.67
Thurman Munson,R,71,190,0.292,113,2.68
Mike Sadek,R,69,165,0.226,5,2.39
Mark Belanger,R,73,170,0.228,20,2.33
Ron Hunt,R,72,186,0.273,39,2.58
Butch Edge,R,75,203,0,0,2.71
Vic Correll,R,70,185,0.229,29,2.64
Jackie Hernandez,R,71,165,0.208,12,2.32
Gary Mielke,R,75,185,0,0,2.47
Rick Henninger,R,78,225,0,0,2.88
Joe Foy,R,72,215,0.248,58,2.99
Mickey Klutts,R,71,170,0.241,14,2.39
Leroy Stanton,R,73,195,0.244,77,2.67
Rafael Vasquez,R,72,160,0,0,2.22
Danny Ainge,R,76,175,0.22,2,2.3
Adolfo Phillips,R,73,175,0.247,59,2.4
Marv Breeding,R,72,175,0.25,7,2.43
Steve Adkins,R,78,210,0,0,2.69
Joe Horlen,R,72,170,0.134,0,2.36
Glenn Burke,R,72,195,0.237,2,2.71
Tony Mack,R,70,177,0,0,2.53
Terry Humphrey,R,75,185,0.211,6,2.47
Bill Moran,R,76,210,0,0,2.76
Enzo Hernandez,R,68,155,0.224,2,2.28
Cesar Gutierrez,R,69,155,0.235,0,2.25
Coco Laboy,R,70,165,0.233,28,2.36
Jim Morrison,R,71,175,0.26,112,2.46
Tom Gilles,R,73,185,0,0,2.53
Bobby Knoop,R,73,170,0.236,56,2.33
Tom Paciorek,R,76,215,0.282,86,2.83
Gary Woods,R,74,185,0.243,13,2.5
Bob Montgomery,R,73,195,0.258,23,2.67
Jeff Burroughs,R,73,200,0.261,240,2.74
Bob Kammeyer,R,76,210,0,0,2.76
Paul Blair,R,72,168,0.25,134,2.33
Al Cowens,R,73,197,0.27,108,2.7
Dave Hilton,R,71,191,0.213,6,2.69
Luis Alvarado,R,69,162,0.214,5,2.35
Larry Parrish,R,75,190,0.263,256,2.53
Woodie Fryman,R,75,197,0.138,2,2.63
Bob Randall,R,74,175,0.257,1,2.36
Jim Pankovits,R,70,170,0.25,9,2.43
Carmen Fanzone,R,72,200,0.224,20,2.78
Gary Allenson,R,71,185,0.221,19,2.61
Mike Vail,R,73,180,0.279,34,2.47
Nick Esasky,R,75,200,0.25,122,2.67
Chris Cannizzaro,R,72,190,0.235,18,2.64
John Pawlowski,R,74,175,0,0,2.36
Mel Stottlemyre,R,73,178,0.16,7,2.44
Jack Hardy,R,74,175,0,0,2.36
Ron Musselman,R,74,185,0,0,2.5
Tony Chevez,R,71,177,0,0,2.49
Andy Messersmith,R,73,200,0.17,5,2.74
Richie Zisk,R,73,200,0.287,207,2.74
Dave Chalk,R,70,175,0.252,15,2.5
Don Baylor,R,73,190,0.26,338,2.6
John Vukovich,R,73,187,0.161,6,2.56
Danny Thompson,R,72,183,0.248,15,2.54
Doug Camilli,R,71,195,0.199,18,2.75
Bruce Bochy,R,75,205,0.239,26,2.73
Gary Ignasiak,R,71,185,0,0,2.61
Ken Reitz,R,72,180,0.26,68,2.5
Amos Otis,R,71,165,0.277,193,2.32
Gene Alley,R,70,160,0.254,55,2.29
Ted Sizemore,R,70,165,0.262,23,2.36
Joe Skalski,R,75,190,0,0,2.53
Doug Flynn,R,71,165,0.238,7,2.32
Ken Holtzman,R,74,175,0.163,2,2.36
Kevin Bell,R,72,195,0.222,13,2.71
Tom Nieto,R,73,193,0.205,5,2.64
Larvell Blanks,R,68,167,0.253,20,2.46
Francisco Barrios,R,71,155,0,0,2.18
Steve Yeager,R,72,190,0.228,102,2.64
Pedro Garcia,R,70,175,0.22,37,2.5
Bob Babcock,R,77,210,0,0,2.73
Craig Eaton,R,71,175,0,0,2.46
Art Howe,R,74,190,0.26,43,2.57
Ike Brown,R,72,190,0.256,20,2.64
Howie Goss,R,76,204,0.216,11,2.68
Glenn Borgmann,R,76,210,0.229,16,2.76
Lamar Johnson,R,74,215,0.287,64,2.91
Julio Gonzalez,R,71,162,0.235,4,2.28
Bobby Klaus,R,70,170,0.208,6,2.43
Manny Sanguillen,R,72,193,0.296,65,2.68
Jesus Alou,R,74,190,0.28,32,2.57
Enos Cabell,R,76,170,0.277,60,2.24
Roy Branch,R,72,175,0,0,2.43
Juan Beniquez,R,71,150,0.274,79,2.11
Frank Fernandez,R,72,185,0.199,39,2.57
Bombo Rivera,R,70,187,0.265,10,2.67
Steve Brye,R,72,190,0.258,30,2.64
Ron Jackson,R,72,200,0.259,56,2.78
Rufino Linares,R,72,170,0.27,11,2.36
Bob Kearney,R,72,190,0.233,27,2.64
Fergie Jenkins,R,77,205,0.165,13,2.66
Dick Dietz,R,73,195,0.261,66,2.67
Ted Cox,R,75,195,0.245,10,2.6
Bobby Mitchell,R,75,185,0.235,21,2.47
Barry Evans,R,73,180,0.251,2,2.47
Mickey Brantley,R,70,180,0.259,32,2.57
Al Gallagher,R,72,180,0.263,11,2.5
Rob Woodward,R,75,185,0,0,2.47
Hector Cruz,R,71,170,0.225,39,2.39
Woody Woodward,R,74,180,0.236,1,2.43
Ted Martinez,R,72,165,0.24,7,2.29
Jim Anderson,R,72,170,0.218,13,2.36
Lenn Sakata,R,69,160,0.23,25,2.32
Dave Duncan,R,74,190,0.214,109,2.57
Randy Jones,R,72,178,0.132,0,2.47
Dick Billings,R,73,195,0.227,16,2.67
Bob Veselic,R,72,175,0,0,2.43
Burt Hooton,R,73,210,0.123,4,2.88
Bob Ferris,R,78,225,0,0,2.88
Fernando Gonzalez,R,70,165,0.235,17,2.36
Jim Sundberg,R,72,190,0.248,95,2.64
Andy Kosco,R,75,205,0.236,73,2.73
Gary Wheelock,R,75,205,0,0,2.73
Lenny Faedo,R,72,170,0.251,5,2.36
Dick Davis,R,75,190,0.265,27,2.53
Mike Diaz,R,74,195,0.247,31,2.64
Tim Foli,R,72,179,0.251,25,2.49
Alan Knicely,R,72,190,0.213,12,2.64
Tim Laudner,R,75,212,0.225,77,2.83
Jose Morales,R,71,187,0.287,26,2.63
Luis Encarnacion,R,70,178,0,0,2.54
Rick Kreuger,R,74,185,0,0,2.5
Juan Marichal,R,72,185,0.165,4,2.57
Roger Weaver,R,75,190,0,0,2.53
Stan Papi,R,72,170,0.218,7,2.36
Chris Knapp,R,77,195,0,0,2.53
Steve Henderson,R,74,190,0.28,68,2.57
Rob Picciolo,R,74,185,0.234,17,2.5
Don Welchel,R,76,205,0,0,2.7
Roberto Pena,R,68,170,0.245,13,2.5
Bob Dernier,R,72,160,0.255,23,2.22
Bill Melton,R,74,200,0.253,160,2.7
Barbaro Garbey,R,70,170,0.267,11,2.43
Jack Hiatt,R,74,190,0.251,22,2.57
Nelson Mathews,R,76,195,0.223,22,2.57
Ron Theobald,R,68,165,0.248,2,2.43
Dewey Robinson,R,72,180,0,0,2.5
Rafael Santana,R,73,165,0.246,13,2.26
Tony Arnold,R,71,170,0,0,2.39
Ike Brookens,R,77,170,0,0,2.21
Tommie Aaron,R,75,190,0.229,13,2.53
Steve Dillard,R,73,180,0.243,13,2.47
Win Remmerswaal,R,74,160,0,0,2.16
Jeff Peterek,R,74,195,0,0,2.64
George Scott,R,74,200,0.268,271,2.7
Jeff Shaver,R,75,195,0,0,2.6
Ken Walters,R,73,180,0.231,11,2.47
Gorman Thomas,R,74,210,0.225,268,2.84
Paul Dade,R,73,185,0.27,10,2.53
Fred Stanley,R,70,165,0.216,10,2.36
Carl Morton,R,72,200,0.156,7,2.78
Gary Gray,R,72,187,0.24,24,2.6
Rennie Stennett,R,71,160,0.274,41,2.25
Jim Gideon,R,75,190,0,0,2.53
Jerry May,R,74,190,0.234,15,2.57
Rich McKinney,R,71,185,0.225,20,2.61
Mike Andrews,R,75,195,0.258,66,2.6
Bobby Clark,R,72,190,0.239,19,2.64
Cliff Johnson,R,76,215,0.258,196,2.83
Donn Clendenon,R,76,209,0.274,159,2.75
Charlie James,R,73,195,0.255,29,2.67
Bob Horner,R,73,195,0.277,218,2.67
Tom Veryzer,R,73,175,0.241,14,2.4
Jose Cecena,R,71,180,0,0,2.54
George Smith,R,70,170,0.205,9,2.43
Jim Essian,R,74,195,0.244,33,2.64
Onix Concepcion,R,66,160,0.239,3,2.42
Brian Giles,R,73,165,0.228,10,2.26
Garry Maddox,R,75,175,0.285,117,2.33
Alex Trevino,R,70,165,0.249,23,2.36
Jim Price,R,72,192,0.214,18,2.67
Felix Millan,R,71,172,0.279,22,2.42
Steve Garvey,R,70,192,0.294,272,2.74
Greg Erardi,R,73,190,0,0,2.6
Jim Farr,R,73,195,0,0,2.67
Tony Cloninger,R,72,210,0.192,11,2.92
Chuck Harrison,R,70,185,0.238,17,2.64
Mike Ivie,R,75,205,0.269,81,2.73
Frank Dimichele,R,75,205,0,0,2.73
Dusty Baker,R,74,183,0.278,242,2.47
Tucker Ashford,R,73,195,0.218,6,2.67
Ned Yost,R,73,190,0.212,16,2.6
Mike Warren,R,73,175,0,0,2.4
Gaylord Perry,R,76,205,0.131,6,2.7
Mickey Hatcher,R,74,200,0.28,38,2.7
Bill Fulton,R,75,195,0,0,2.6
John Orsino,R,75,215,0.249,40,2.87
Larry Anderson,R,75,190,0,0,2.53
Craig Mitchell,R,75,180,0,0,2.4
Dave Hostetler,R,76,215,0.229,37,2.83
Alfredo Martinez,R,75,185,0,0,2.47
Dean Chance,R,75,200,0.066,0,2.67
Dick Green,R,70,180,0.24,80,2.57
Fran Healy,R,77,220,0.25,20,2.86
Doc Edwards,R,74,215,0.238,15,2.91
Joe Strain,R,70,169,0.25,1,2.41
Buddy Bell,R,73,180,0.279,201,2.47
Jody Davis,R,76,192,0.245,127,2.53
Mike Edwards,R,70,154,0.25,2,2.2
Bill Mooneyham,R,72,175,0,0,2.43
John Hobbs,R,75,190,0,0,2.53
Deron Johnson,R,74,200,0.244,245,2.7
John Denny,R,75,185,0.17,0,2.47
Don Wert,R,70,162,0.242,77,2.31
Greg Luzinski,R,73,220,0.276,307,3.01
Karl Best,R,76,190,0,0,2.5
Ron Woods,R,70,168,0.233,26,2.4
Tony Horton,R,75,210,0.268,76,2.8
Randy Hundley,R,71,170,0.236,82,2.39
Luis Sanchez,R,74,170,0,0,2.3
Bob Johnson,R,70,175,0.272,44,2.5
Brant Alyea,R,75,215,0.247,38,2.87
Lou Johnson,R,71,170,0.258,48,2.39
Mike Brown,R,74,195,0.265,23,2.64
Mike Brown,R,74,195,0,0,2.64
Terry Harper,R,76,195,0.253,36,2.57
Jerry Royster,R,72,165,0.249,40,2.29
Barry Bonnell,R,75,190,0.272,56,2.53
Tom Seaver,R,73,195,0.154,12,2.67
Jerry Martin,R,73,195,0.251,85,2.67
Bill Stein,R,70,170,0.267,44,2.43
Joel Youngblood,R,72,180,0.265,80,2.5
Phil Gagliano,R,73,180,0.238,14,2.47
Jerry McNertney,R,72,180,0.237,27,2.5
Kiko Garcia,R,71,180,0.239,12,2.54
John Caneira,R,75,180,0,0,2.4
Domingo Ramos,R,70,154,0.24,8,2.2
Clint Zavaras,R,73,175,0,0,2.4
Mike Parrott,R,76,210,0,0,2.76
Ray Fosse,R,74,215,0.256,61,2.91
Luis Aponte,R,72,185,0,0,2.57
Orlando Mercado,R,72,180,0.199,7,2.5
Charley Smith,R,73,170,0.239,69,2.33
Paul Boris,R,74,200,0,0,2.7
De Wayne Buice,R,72,170,0,0,2.36
Bob Uecker,R,73,190,0.2,14,2.6
Felix Torres,R,71,165,0.254,27,2.32
Ray Knight,R,73,185,0.271,84,2.53
Bobby Grich,R,74,180,0.266,224,2.43
John Boccabella,R,73,195,0.219,26,2.67
Mark Esser,R,73,190,0,0,2.6
Daryl Smith,R,76,185,0,0,2.43
Dave Smith,R,73,190,0,0,2.6
Buddy Bradford,R,71,170,0.226,52,2.39
Dave Stapleton,R,73,178,0.271,41,2.44
Gary Ward,R,74,195,0.276,130,2.64
Jim Lonborg,R,77,200,0.136,3,2.6
Joe Lis,R,72,175,0.233,32,2.43
Tom Klawitter,R,74,190,0,0,2.57
Larry Herndon,R,75,190,0.274,107,2.53
Jim Wright,R,77,205,0,0,2.66
Jim Wright,R,73,165,0,0,2.26
Eddie Leon,R,72,170,0.236,24,2.36
Jim Wohlford,R,71,175,0.26,21,2.46
J.R. Richard,R,80,222,0.168,10,2.78
Keith Moreland,R,72,190,0.279,121,2.64
Ramon Pena,R,70,155,0,0,2.21
Alex Johnson,R,72,205,0.288,78,2.85
Chico Escarrega,R,71,185,0,0,2.61
Dave Rosello,R,71,160,0.236,10,2.25
Cardell Camper,R,75,208,0,0,2.77
Paul Schaal,R,71,165,0.244,57,2.32
Tito Landrum,R,71,175,0.249,13,2.46
Dave Edwards,R,72,170,0.237,14,2.36
Mario Guerrero,R,70,155,0.257,7,2.21
Mike Overy,R,74,190,0,0,2.57
Doug Griffin,R,72,160,0.245,7,2.22
Steve Blass,R,72,165,0.172,1,2.29
Johnnie LeMaster,R,74,165,0.222,22,2.23
Craig Chamberlain,R,73,190,0,0,2.6
Nate Oliver,R,70,160,0.226,2,2.29
Ken Rudolph,R,73,180,0.213,6,2.47
Wayne Nordhagen,R,74,205,0.282,39,2.77
Frank Eufemia,R,71,185,0,0,2.61
Andre Robertson,R,70,155,0.251,5,2.21
Jerry Zimmerman,R,74,185,0.204,3,2.5
Jack Lazorko,R,71,200,0,0,2.82
Mike Paxton,R,71,190,0,0,2.68
Chet Lemon,R,72,190,0.273,215,2.64
Rickey Keeton,R,74,190,0,0,2.57
Cleon Jones,R,72,185,0.281,93,2.57
Curt Motton,R,68,164,0.213,25,2.41
Johnny Bench,R,73,197,0.267,389,2.7
Dale Berra,R,72,180,0.236,49,2.5
Terry Felton,R,73,180,0,0,2.47
Mark Clear,R,76,200,0,0,2.63
Carl Warwick,R,70,170,0.248,31,2.43
Sam Bowens,R,73,188,0.223,45,2.58
Luis Aguayo,R,69,173,0.236,37,2.51
Hal Lanier,R,74,180,0.228,8,2.43
Greg Pryor,R,72,180,0.25,14,2.5
Dave Nelson,R,70,160,0.244,20,2.29
Lynn Jones,R,69,175,0.252,7,2.54
Ken Suarez,R,69,175,0.227,5,2.54
Rich Barnes,R,76,186,0,0,2.45
Tommie Agee,R,71,195,0.255,130,2.75
Bob Bailey,R,73,180,0.257,189,2.47
Cap Peterson,R,74,195,0.23,19,2.64
Dick Tracewski,R,71,160,0.213,8,2.25
Dave Frost,R,78,235,0,0,3.01
Bill Nahorodny,R,74,200,0.241,25,2.7
Bill Madlock,R,71,180,0.305,163,2.54
Bob Boone,R,74,195,0.254,105,2.64
Rick Burleson,R,70,165,0.273,50,2.36
Jim Dorsey,R,79,190,0,0,2.41
Mark Ciardi,R,72,180,0,0,2.5
Dennis Burtt,R,72,180,0,0,2.5
Carl Taylor,R,74,200,0.266,10,2.7
Terry Harmon,R,74,180,0.233,4,2.43
Rich Yett,R,74,187,0,0,2.53
Don Leppert,R,74,220,0.229,15,2.97
Matt Williams,R,73,200,0,0,2.74
Jim Burton,R,75,195,0,0,2.6
Rick Anderson,R,74,210,0,0,2.84
Charlie Mitchell,R,75,170,0,0,2.27
Bill Paschall,R,72,175,0,0,2.43
Byron McLaughlin,R,73,175,0,0,2.4
Lee May,R,75,195,0.267,354,2.6
Rick Renick,R,72,188,0.221,20,2.61
Jeff Torborg,R,72,195,0.214,8,2.71
Dave Campbell,R,73,180,0.213,20,2.47
Rick Auerbach,R,72,165,0.22,9,2.29
Keith Macwhorter,R,76,190,0,0,2.5
Don Wilson,R,74,195,0.146,1,2.64
Jaime Cocanower,R,76,200,0,0,2.63
Jeff Sellers,R,73,175,0,0,2.4
Steve Senteney,R,74,205,0,0,2.77
Howard Bailey,R,72,195,0,0,2.71
Jeff Bettendorf,R,75,180,0,0,2.4
Cesar Cedeno,R,74,175,0.285,199,2.36
Bob Davidson,R,72,185,0,0,2.57
Phil Linz,R,73,180,0.235,11,2.47
Manny Mota,R,70,160,0.304,31,2.29
Steve Renko,R,77,230,0.215,6,2.99
Carlos Velazquez,R,71,180,0,0,2.54
Roger Miller,R,75,200,0,0,2.67
Doug DeCinces,R,74,190,0.259,237,2.57
John Castino,R,71,175,0.278,41,2.46
Ron Washington,R,71,155,0.261,20,2.18
Billy Grabarkewitz,R,70,165,0.236,28,2.36
Earl Williams,R,75,215,0.247,138,2.87
Willie Mueller,R,76,220,0,0,2.89
John Flinn,R,72,175,0,0,2.43
Don Hahn,R,73,180,0.236,7,2.47
Todd Cruz,R,72,175,0.22,34,2.43
Tom Egan,R,76,218,0.2,22,2.87
Bob Heise,R,72,175,0.247,1,2.43
Tommy Harper,R,69,165,0.257,146,2.39
Max Alvis,R,71,185,0.247,111,2.61
Rico Carty,R,75,200,0.299,204,2.67
Les Straker,R,73,193,0,0,2.64
Damaso Garcia,R,73,165,0.283,36,2.26
Don Kainer,R,75,205,0,0,2.73
Don Gordon,R,73,175,0,0,2.4
Sandy Wihtol,R,73,195,0,0,2.67
Sonny Siebert,R,75,190,0.173,12,2.53
Jeff Richardson,R,75,185,0,0,2.47
Bobby Darwin,R,74,190,0.251,83,2.57
Bruce Miller,R,73,185,0.246,1,2.53
Bob Bailor,R,71,170,0.264,9,2.39
Tommy Helms,R,70,165,0.269,34,2.36
Tony Armas,R,71,182,0.252,251,2.56
Willie Horton,R,71,209,0.273,325,2.94
Lou Piniella,R,72,182,0.291,102,2.53
Butch Hobson,R,73,193,0.248,98,2.64
John Wathan,R,74,205,0.262,21,2.77
Mike Krukow,R,77,205,0.193,5,2.66
Andres Mora,R,72,180,0.223,27,2.5
Barry Foote,R,75,205,0.23,57,2.73
Ron Clark,R,70,175,0.189,5,2.5
Jay Pettibone,R,76,182,0,0,2.39
Glen Cook,R,71,180,0,0,2.54
Julio Gotay,R,72,180,0.26,6,2.5
Gary Alexander,R,74,195,0.23,55,2.64
Andre Thornton,R,75,200,0.254,253,2.67
Bob Oliver,R,75,205,0.256,94,2.73
Bill Castro,R,71,170,0,0,2.39
Tom Buskey,R,75,200,0,0,2.67
Bruce Taylor,R,72,178,0,0,2.47
Stan Thomas,R,74,185,0,0,2.5
Bob Robertson,R,73,195,0.242,115,2.67
Larry Monroe,R,76,200,0,0,2.63
Roger Slagle,R,75,190,0,0,2.53
Ollie Brown,R,74,178,0.265,102,2.41
Frank Quilici,R,73,170,0.214,5,2.33
Curt Kaufman,R,74,175,0,0,2.36
De Wayne Vaughn,R,71,180,0,0,2.54
Rich Wortham,R,72,185,0,0,2.57
Bill Sample,R,69,175,0.272,46,2.54
Mike Bacsik,R,74,180,0,0,2.43
Craig Kusick,R,75,210,0.235,46,2.8
Glenn Hoffman,R,73,175,0.242,23,2.4
Russ Gibson,R,73,195,0.228,8,2.67
Phil Huffman,R,74,180,0,0,2.43
John Bateman,R,75,210,0.23,81,2.8
Luis Pujols,R,74,175,0.193,6,2.36
Joe Gaines,R,73,190,0.241,21,2.6
Doug Rader,R,74,208,0.251,155,2.81
Mickey Stanley,R,73,185,0.248,117,2.53
Steve Brown,R,77,200,0,0,2.6
Rick Lysander,R,74,190,0,0,2.57
Phil Bradley,R,72,185,0.286,78,2.57
Winston Llenas,R,70,165,0.23,3,2.36
Charlie Moore,R,71,180,0.261,36,2.54
Tommy John,R,75,180,0.157,5,2.4
Bruce Benedict,R,73,175,0.242,18,2.4
John Ellis,R,74,225,0.262,69,3.04
Mel Stottlemyre,R,72,190,0,0,2.64
David Green,R,75,170,0.268,31,2.27
Reid Nichols,R,71,165,0.266,22,2.32
Rick Reichardt,R,75,210,0.261,116,2.8
Luis Tiant,R,72,180,0.164,5,2.5
Alex Sanchez,R,74,185,0,0,2.5
Leon Roberts,R,75,200,0.267,78,2.67
Ray Burris,R,77,200,0.151,1,2.6
Paul Wilmet,R,71,170,0,0,2.39
Tom Grieve,R,74,190,0.249,65,2.57
Bob Forsch,R,76,200,0.213,12,2.63
Danny Cater,R,72,170,0.276,66,2.36
Bill Schroeder,R,74,200,0.24,61,2.7
Ron Reed,R,78,215,0.158,0,2.76
Fred Howard,R,75,190,0,0,2.53
Davey Johnson,R,73,170,0.261,136,2.33
Ellis Valentine,R,76,205,0.278,123,2.7
John Hoover,R,74,190,0,0,2.57
Dick Allen,R,71,187,0.292,351,2.63
Doug Ault,R,75,200,0.236,17,2.67
Mark Wagner,R,72,165,0.243,3,2.29
Mike Walters,R,77,203,0,0,2.64
Jake Wood,R,73,163,0.25,35,2.23
Bob Brower,R,71,185,0.242,17,2.61
Ray Culp,R,72,200,0.123,1,2.78
Ivan Murrell,R,74,195,0.236,33,2.64
Garth Iorg,R,71,170,0.258,20,2.39
Bob Brenly,R,74,210,0.247,91,2.84
Jim Rooker,R,72,195,0.201,7,2.71
Colby Ward,R,74,185,0,0,2.5
Jerry Morales,R,70,155,0.259,95,2.21
Davey Lopes,R,69,170,0.263,155,2.46
Catfish Hunter,R,72,190,0.226,6,2.64
Mario Soto,R,72,174,0.132,1,2.42
Jimmy Wynn,R,70,160,0.25,291,2.29
Hank Allen,R,72,190,0.241,6,2.64
Jim Fregosi,R,73,190,0.265,151,2.6
Pepe Frias,R,70,159,0.24,1,2.27
Mike Schmidt,R,74,195,0.267,548,2.64
Rey Quinones,R,71,160,0.243,29,2.25
Chuck Porter,R,75,187,0,0,2.49
Bert Campaneris,R,70,160,0.259,79,2.29
Bobby Valentine,R,70,189,0.26,12,2.7
Rob Andrews,R,72,185,0.251,3,2.57
Tom Dozier,R,74,190,0,0,2.57
Ron Swoboda,R,74,195,0.242,73,2.64
Bob Barton,R,72,175,0.226,9,2.43
Joe Torre,R,74,212,0.297,252,2.86
Al Ferrara,R,73,200,0.259,51,2.74
Rick Steirer,R,76,200,0,0,2.63
Sixto Lezcano,R,70,165,0.271,148,2.36
Al Lachowicz,R,75,198,0,0,2.64
Dave Nicholson,R,74,215,0.212,61,2.91
Freddie Patek,R,65,148,0.242,41,2.28
Ken Hubbs,R,74,175,0.247,14,2.36
Pepe Mangual,R,70,157,0.242,16,2.24
Tom McCarthy,R,72,180,0,0,2.5
Tom Lawless,R,71,170,0.207,2,2.39
Jerry Moses,R,75,210,0.251,25,2.8
Bobby Bonds,R,73,190,0.268,332,2.6
Dave McNally,R,71,185,0.133,9,2.61
Roy Foster,R,72,185,0.253,45,2.57
Denis Menke,R,72,185,0.25,101,2.57
Hal Breeden,R,74,200,0.243,21,2.7
Manny Trillo,R,73,150,0.263,61,2.05
Jackie Gutierrez,R,71,175,0.237,4,2.46
Fred Kendall,R,73,185,0.234,31,2.53
Mike Anderson,R,74,200,0.246,28,2.7
Jim Lewis,R,75,190,0,0,2.53
Joe Charboneau,R,74,205,0.266,29,2.77
Jimmie Schaffer,R,69,170,0.223,11,2.46
Junior Kennedy,R,71,175,0.248,4,2.46
Rod Gilbreath,R,74,180,0.248,14,2.43
Mark Brouhard,R,73,210,0.259,25,2.88
Chris Speier,R,73,175,0.246,112,2.4
Mike Fischlin,R,73,165,0.22,3,2.26
Don Money,R,73,170,0.261,176,2.33
Joe Rudi,R,74,200,0.264,179,2.7
Jim Rice,R,74,200,0.298,382,2.7
Shawn Holman,R,74,185,0,0,2.5
Alan Wirth,R,76,190,0,0,2.5
Gil Garrido,R,69,150,0.237,1,2.17
Marty Perez,R,71,160,0.246,22,2.25
Jerry Grote,R,70,185,0.252,39,2.64
Jim Beauchamp,R,74,190,0.231,14,2.57
Terry Wilshusen,R,74,210,0,0,2.84
Ron Brand,R,67,167,0.239,3,2.49
Leo Cardenas,R,71,150,0.257,118,2.11
Steve Ellsworth,R,80,220,0,0,2.75
Ron Cey,R,70,185,0.261,316,2.64
Skip Jutze,R,71,190,0.215,3,2.68
Ron LeFlore,R,72,200,0.288,59,2.78
Bill Russell,R,72,175,0.263,46,2.43
Gene Tenace,R,72,190,0.241,201,2.64
Bubba Morton,R,70,175,0.267,14,2.5
Ellie Rodriguez,R,71,185,0.245,16,2.61
Bryan Kelly,R,74,195,0,0,2.64
Bill Freehan,R,75,203,0.262,200,2.71
Steve Nicosia,R,70,185,0.248,11,2.64
Ted Savage,R,73,185,0.233,34,2.53
Pete Mackanin,R,74,190,0.226,30,2.57
Rich Dauer,R,72,180,0.257,43,2.5
Mick Kelleher,R,69,176,0.213,0,2.55
Don Sutton,R,73,185,0.144,0,2.53
Glenn Beckert,R,73,190,0.283,22,2.6
Ron Davis,R,72,175,0.233,10,2.43
Mike Shannon,R,75,195,0.255,68,2.6
John Leister,R,74,200,0,0,2.7
Don Cooper,R,73,185,0,0,2.53
Ed Romero,R,71,160,0.247,8,2.25
Rick Joseph,R,73,192,0.243,13,2.63
Bill Almon,R,75,180,0.254,36,2.4
Joe Ferguson,R,74,200,0.24,122,2.7
Jeff Jones,R,75,210,0,0,2.8
Jerry Terrell,R,71,165,0.253,4,2.32
Jerry Dybzinski,R,74,180,0.234,3,2.43
Gary Sutherland,R,72,185,0.243,24,2.57
Bob Coluccio,R,71,183,0.22,26,2.58
Ron Gardenhire,R,72,175,0.232,4,2.43
Alan Bannister,R,71,170,0.27,19,2.39
Bob Watson,R,72,201,0.295,184,2.79
Ken Harrelson,R,74,190,0.239,131,2.57
Bobby Wine,R,73,187,0.215,30,2.56
Stefan Wever,R,80,245,0,0,3.06
John Kennedy,R,72,185,0.225,32,2.57
Dave Johnson,R,73,183,0,0,2.51
Luis Melendez,R,72,165,0.248,9,2.29
Bill Plummer,R,73,190,0.188,14,2.6
Phil Niekro,R,73,180,0.169,7,2.47
Eric Hetzel,R,75,175,0,0,2.33
Ed Charles,R,70,170,0.263,86,2.43
Luis Gomez,R,69,150,0.21,0,2.17
Dave Lemanczyk,R,76,235,0,0,3.09
Al Jones,R,76,210,0,0,2.76
Floyd Rayford,R,70,190,0.244,38,2.71
Sam Hinds,R,78,215,0,0,2.76
Tony Conigliaro,R,75,185,0.264,166,2.47
Clay Christiansen,R,77,205,0,0,2.66
Jim Barr,R,75,205,0.162,1,2.73
Frank Duffy,R,73,180,0.232,26,2.47
Phil Garner,R,70,175,0.26,109,2.5
Larry Pashnick,R,75,205,0,0,2.73
Todd Fischer,R,70,170,0,0,2.43
